"CubeId";"auvekoma"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"1992";"A";"US0";"21006"
"1992";"A";"T6";"100446"
"1992";"A";"N1";"0"
"1992";"A";"TB2";"75222"
"1992";"A";"FGK";"75222"
"1992";"A";"OH1";"1022"
"1992";"A";"US1";"24202"
"1992";"A";"UA";"41800"
"1992";"A";"T7";"59197"
"1992";"A";"G";"11904"
"1992";"A";"RIWF";"1144"
"1992";"A";"S1";"135"
"1992";"A";"T8";"45858"
"1992";"A";"W";"45858"
"1992";"A";"BE";"0"
"1992";"A";"U";"156"
"1992";"P";"T0";"552744.1054"
"1992";"P";"T1";"69868.1"
"1992";"P";"B0";"62287"
"1992";"P";"K0";"7581.1"
"1992";"P";"T2";"158981"
"1992";"P";"S0T";"26665"
"1992";"P";"STK";"0"
"1992";"P";"STL";"26665"
"1992";"P";"T3";"132316"
"1992";"P";"A";"108409"
"1992";"P";"K1";"23907"
"1992";"P";"D";
"1992";"P";"T4";"323895.0054"
"1992";"P";"T5";"188337.8292"
"1992";"P";"N0";"4700.8292"
"1992";"P";"TB1";"183637"
"1992";"P";"VGB";"140790"
"1992";"P";"VGK";"40621"
"1992";"P";"OH0";
"1992";"P";"US0";"0"
"1992";"P";"T6";"32749"
"1992";"P";"N1";
"1992";"P";"OH1";"166"
"1992";"P";"US1";"32583"
"1992";"P";"UP";"102808.1762"
"1992";"N";"T0";"308981.9946"
"1992";"N";"T1";"45758"
"1992";"N";"T2";"160697"
"1992";"N";"D";
"1992";"N";"T4";"43329.9946"
"1992";"N";"T7";"59197"
"1993";"A";"T0";"966112.9"
"1993";"A";"T1";"143985.7"
"1993";"A";"B0";"113292.3"
"1993";"A";"K0";"30693.4"
"1993";"A";"T2";"400948.5"
"1993";"A";"S0T";"269392.6"
"1993";"A";"STK";"1574"
"1993";"A";"STL";"267818.6"
"1993";"A";"T3";"131555.9"
"1993";"A";"A";"131555.9"
"1993";"A";"K1";"0"
"1993";"A";"D";
"1993";"A";"T4";"360470.5"
"1993";"A";"T5";"217968.9"
"1993";"A";"N0";"0"
"1993";"A";"TB1";"199793"
"1993";"A";"FGB";"121242"
"1993";"A";"OH0";"29.4"
"1993";"A";"US0";"18146.5"
"1993";"A";"T6";"102856.8"
"1993";"A";"N1";"0"
"1993";"A";"TB2";"76324"
"1993";"A";"FGK";"76324"
"1993";"A";"OH1";"1025.8"
"1993";"A";"US1";"25507"
"1993";"A";"UA";"39644.8"
"1993";"A";"T7";"60708.2"
"1993";"A";"G";"11904"
"1993";"A";"RIWF";"1222"
"1993";"A";"S1";"332.7"
"1993";"A";"T8";"47031.1"
"1993";"A";"W";"47031.1"
"1993";"A";"BE";"0"
"1993";"A";"U";"218.4"
"1993";"P";"T0";"643836.994812"
"1993";"P";"T1";"81789.6"
"1993";"P";"B0";"73214"
"1993";"P";"K0";"8575.6"
"1993";"P";"T2";"239902"
"1993";"P";"S0T";"34169"
"1993";"P";"STK";"0"
"1993";"P";"STL";"34169"
"1993";"P";"T3";"205733"
"1993";"P";"A";"165325"
"1993";"P";"K1";"40408"
"1993";"P";"D";
"1993";"P";"T4";"322145.394812"
"1993";"P";"T5";"194391.7372"
"1993";"P";"N0";"4843.7372"
"1993";"P";"TB1";"189548"
"1993";"P";"VGB";"141198"
"1993";"P";"VGK";"47335"
"1993";"P";"OH0";
"1993";"P";"US0";"0"
"1993";"P";"T6";"32723"
"1993";"P";"N1";
"1993";"P";"OH1";"284"
"1993";"P";"US1";"32439"
"1993";"P";"UP";"95030.657612"
"1993";"N";"T0";"322275.905188"
"1993";"N";"T1";"62196.1"
"1993";"N";"T2";"161046.5"
"1993";"N";"D";
"1993";"N";"T4";"38325.105188"
"1993";"N";"T7";"60708.2"
"1994";"A";"T0";"988805"
"1994";"A";"T1";"158310"
"1994";"A";"B0";"125431"
"1994";"A";"K0";"32879"
"1994";"A";"T2";"385379"
"1994";"A";"S0T";"253184"
"1994";"A";"STK";"1336"
"1994";"A";"STL";"251848"
"1994";"A";"T3";"132195"
"1994";"A";"A";"132195"
"1994";"A";"K1";"0"
"1994";"A";"D";
"1994";"A";"T4";"385549"
"1994";"A";"T5";"237733"
"1994";"A";"N0";"0"
"1994";"A";"TB1";"209957"
"1994";"A";"FGB";"133488"
"1994";"A";"OH0";"3"
"1994";"A";"US0";"27773"
"1994";"A";"T6";"109100"
"1994";"A";"N1";"0"
"1994";"A";"TB2";"81055"
"1994";"A";"FGK";"81055"
"1994";"A";"OH1";"1043"
"1994";"A";"US1";"27002"
"1994";"A";"UA";"38716"
"1994";"A";"T7";"59567"
"1994";"A";"G";"11904"
"1994";"A";"RIWF";"1242"
"1994";"A";"S1";"313"
"1994";"A";"T8";"45910"
"1994";"A";"W";"45910"
"1994";"A";"BE";"0"
"1994";"A";"U";"198"
"1994";"P";"T0";"669662.4426"
"1994";"P";"T1";"91561"
"1994";"P";"B0";"79598.4"
"1994";"P";"K0";"11962.6"
"1994";"P";"T2";"212987"
"1994";"P";"S0T";"36301"
"1994";"P";"STK";"0"
"1994";"P";"STL";"36301"
"1994";"P";"T3";"176686"
"1994";"P";"A";"137092"
"1994";"P";"K1";"39594"
"1994";"P";"D";
"1994";"P";"T4";"365114.4426"
"1994";"P";"T5";"228663.7448"
"1994";"P";"N0";"4965.7448"
"1994";"P";"TB1";"223698"
"1994";"P";"VGB";"170836"
"1994";"P";"VGK";"49847"
"1994";"P";"OH0";
"1994";"P";"US0";"0"
"1994";"P";"T6";"41274"
"1994";"P";"N1";
"1994";"P";"OH1";"338"
"1994";"P";"US1";"40936"
"1994";"P";"UP";"95176.6978"
"1994";"N";"T0";"319142.5574"
"1994";"N";"T1";"66749"
"1994";"N";"T2";"172392"
"1994";"N";"D";
"1994";"N";"T4";"20434.5574"
"1994";"N";"T7";"59567"
"1995";"A";"T0";"1003398.8"
"1995";"A";"T1";"177632.7"
"1995";"A";"B0";"141518.4"
"1995";"A";"K0";"36114.3"
"1995";"A";"T2";"399270.1"
"1995";"A";"S0T";"260585.1"
"1995";"A";"STK";"2936"
"1995";"A";"STL";"257649.1"
"1995";"A";"T3";"138685"
"1995";"A";"A";"138685"
"1995";"A";"K1";"0"
"1995";"A";"D";
"1995";"A";"T4";"370605"
"1995";"A";"T5";"231368.66734195"
"1995";"A";"N0";"0"
"1995";"A";"TB1";"209529"
"1995";"A";"FGB";"145026"
"1995";"A";"OH0";"4"
"1995";"A";"US0";"21835.66734195"
"1995";"A";"T6";"109028.33265805"
"1995";"A";"N1";"0"
"1995";"A";"TB2";"65522"
"1995";"A";"FGK";"65522"
"1995";"A";"OH1";"1059"
"1995";"A";"US1";"42447.33265805"
"1995";"A";"UA";"30208"
"1995";"A";"T7";"55891"
"1995";"A";"G";"11904"
"1995";"A";"RIWF";"1688"
"1995";"A";"S1";"312"
"1995";"A";"T8";"41813"
"1995";"A";"W";"41813"
"1995";"A";"BE";"0"
"1995";"A";"U";"174"
"1995";"P";"T0";"695112.395996"
"1995";"P";"T1";"98069.1"
"1995";"P";"B0";"83624.6"
"1995";"P";"K0";"14444.5"
"1995";"P";"T2";"239975"
"1995";"P";"S0T";"33702"
"1995";"P";"STK";"0"
"1995";"P";"STL";"33702"
"1995";"P";"T3";"206273"
"1995";"P";"A";"171170"
"1995";"P";"K1";"35103"
"1995";"P";"D";
"1995";"P";"T4";"357068.295996"
"1995";"P";"T5";"213084.238"
"1995";"P";"N0";"4990.238"
"1995";"P";"TB1";"208094"
"1995";"P";"VGB";"158599"
"1995";"P";"VGK";"48886"
"1995";"P";"OH0";
"1995";"P";"US0";"0"
"1995";"P";"T6";"53190.4"
"1995";"P";"N1";
"1995";"P";"OH1";"653"
"1995";"P";"US1";"52537.4"
"1995";"P";"UP";"90793.657996"
"1995";"N";"T0";"308286.404004"
"1995";"N";"T1";"79563.6"
"1995";"N";"T2";"159295.1"
"1995";"N";"D";
"1995";"N";"T4";"13536.704004"
"1995";"N";"T7";"55891"
"1996";"A";"T0";"1257404.9"
"1996";"A";"T1";"203581.6"
"1996";"A";"B0";"171974.8"
"1996";"A";"K0";"31606.8"
"1996";"A";"T2";"484462.4"
"1996";"A";"S0T";"297417"
"1996";"A";"STK";"4107"
"1996";"A";"STL";"293310"
"1996";"A";"T3";"187045.4"
"1996";"A";"A";"187045.4"
"1996";"A";"K1";"0"
"1996";"A";"D";
"1996";"A";"T4";"505673.7"
"1996";"A";"T5";"339141"
"1996";"A";"N0";"0"
"1996";"A";"TB1";"309922"
"1996";"A";"FGB";"235815"
"1996";"A";"OH0";"0"
"1996";"A";"US0";"29219"
"1996";"A";"T6";"129516.8"
"1996";"A";"N1";"0"
"1996";"A";"TB2";"75891"
"1996";"A";"FGK";"75891"
"1996";"A";"OH1";"982.8"
"1996";"A";"US1";"52643"
"1996";"A";"UA";"37015.9"
"1996";"A";"T7";"63687.2"
"1996";"A";"G";"11904"
"1996";"A";"RIWF";"2067.8"
"1996";"A";"S1";"182.7"
"1996";"A";"T8";"49328.4"
"1996";"A";"W";"49328.4"
"1996";"A";"BE";"0"
"1996";"A";"U";"204.3"
"1996";"P";"T0";"848310.3733"
"1996";"P";"T1";"105847.2"
"1996";"P";"B0";"92034.7"
"1996";"P";"K0";"13812.5"
"1996";"P";"T2";"273830.8"
"1996";"P";"S0T";"36101.8"
"1996";"P";"STK";"0"
"1996";"P";"STL";"36101.8"
"1996";"P";"T3";"237729"
"1996";"P";"A";"200513"
"1996";"P";"K1";"37216"
"1996";"P";"D";
"1996";"P";"T4";"468632.3733"
"1996";"P";"T5";"299688.2544"
"1996";"P";"N0";"5357.7544"
"1996";"P";"TB1";"294330.5"
