"CubeId";"auvezebq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"D2";"Value"
"2002-Q1";"N";"T";"KA";
"2002-Q1";"N";"T";"LE";"579724.80251752"
"2002-Q1";"A";"T";"LE1";"2219367.14381925"
"2002-Q1";"A";"T";"LX";"60709.69480043"
"2002-Q1";"A";"T";"T";
"2002-Q1";"A";"T";"K";
"2002-Q1";"A";"T";"K7";
"2002-Q1";"A";"T";"K7A";
"2002-Q1";"A";"T";"K7B";
"2002-Q1";"A";"T";"KA";
"2002-Q1";"A";"T";"LE";"2280076.90861968"
"2002-Q1";"P";"T";"LE1";"1632551.22422929"
"2002-Q1";"P";"T";"LX";"67801.07187187"
"2002-Q1";"P";"T";"T";
"2002-Q1";"P";"T";"K";
"2002-Q1";"P";"T";"K7";
"2002-Q1";"P";"T";"K7A";
"2002-Q1";"P";"T";"K7B";
"2002-Q1";"P";"T";"KA";
"2002-Q1";"P";"T";"LE";"1700352.10610217"
"2002-Q2";"N";"T";"LE1";"579724.80251752"
"2002-Q2";"N";"T";"LX";"-43638.6092003"
"2002-Q2";"N";"T";"T";"28182.83569664"
"2002-Q2";"N";"T";"K";"-71820.64489694"
"2002-Q2";"N";"T";"K7";
"2002-Q2";"N";"T";"K7A";
"2002-Q2";"N";"T";"K7B";
"2002-Q2";"N";"T";"KA";
"2002-Q2";"N";"T";"LE";"536085.79331722"
"2002-Q2";"A";"T";"LE1";"2280076.90861968"
"2002-Q2";"A";"T";"LX";"-124625.78694343"
"2002-Q2";"A";"T";"T";
"2002-Q2";"A";"T";"K";
"2002-Q2";"A";"T";"K7";
"2002-Q2";"A";"T";"K7A";
"2002-Q2";"A";"T";"K7B";
"2002-Q2";"A";"T";"KA";
"2002-Q2";"A";"T";"LE";"2155451.22167626"
"2002-Q2";"P";"T";"LE1";"1700352.10610217"
"2002-Q2";"P";"T";"LX";"-80987.17774313"
"2002-Q2";"P";"T";"T";
"2002-Q2";"P";"T";"K";
"2002-Q2";"P";"T";"K7";
"2002-Q2";"P";"T";"K7A";
"2002-Q2";"P";"T";"K7B";
"2002-Q2";"P";"T";"KA";
"2002-Q2";"P";"T";"LE";"1619365.42835904"
"2002-Q3";"N";"T";"LE1";"536085.79331722"
"2002-Q3";"N";"T";"LX";"36027.75217808"
"2002-Q3";"N";"T";"T";"4065.7397696"
"2002-Q3";"N";"T";"K";"31961.61240848"
"2002-Q3";"N";"T";"K7";
"2002-Q3";"N";"T";"K7A";
"2002-Q3";"N";"T";"K7B";
"2002-Q3";"N";"T";"KA";
"2002-Q3";"N";"T";"LE";"572114.6454953"
"2002-Q3";"A";"T";"LE1";"2155451.22167626"
"2002-Q3";"A";"T";"LX";"-70577.46176505"
"2002-Q3";"A";"T";"T";
"2002-Q3";"A";"T";"K";
"2002-Q3";"A";"T";"K7";
"2002-Q3";"A";"T";"K7A";
"2002-Q3";"A";"T";"K7B";
"2002-Q3";"A";"T";"KA";
"2002-Q3";"A";"T";"LE";"2084873.95991121"
"2002-Q3";"P";"T";"LE1";"1619365.42835904"
"2002-Q3";"P";"T";"LX";"-106605.21394313"
"2002-Q3";"P";"T";"T";
"2002-Q3";"P";"T";"K";
"2002-Q3";"P";"T";"K7";
"2002-Q3";"P";"T";"K7A";
"2002-Q3";"P";"T";"K7B";
"2002-Q3";"P";"T";"KA";
"2002-Q3";"P";"T";"LE";"1512759.31441591"
"2002-Q4";"N";"T";"LE1";"572114.6454953"
"2002-Q4";"N";"T";"LX";"410.91826027"
"2002-Q4";"N";"T";"T";"19059.9315805"
"2002-Q4";"N";"T";"K";"-18648.91332023"
"2002-Q4";"N";"T";"K7";
"2002-Q4";"N";"T";"K7A";
"2002-Q4";"N";"T";"K7B";
"2002-Q4";"N";"T";"KA";
"2002-Q4";"N";"T";"LE";"572524.76375557"
"2002-Q4";"A";"T";"LE1";"2084873.95991121"
"2002-Q4";"A";"T";"LX";"30555.47651714"
"2002-Q4";"A";"T";"T";
"2002-Q4";"A";"T";"K";
"2002-Q4";"A";"T";"K7";
"2002-Q4";"A";"T";"K7A";
"2002-Q4";"A";"T";"K7B";
"2002-Q4";"A";"T";"KA";
"2002-Q4";"A";"T";"LE";"2115429.03642835"
"2002-Q4";"P";"T";"LE1";"1512759.31441591"
"2002-Q4";"P";"T";"LX";"30144.55825687"
"2002-Q4";"P";"T";"T";
"2002-Q4";"P";"T";"K";
"2002-Q4";"P";"T";"K7";
"2002-Q4";"P";"T";"K7A";
"2002-Q4";"P";"T";"K7B";
"2002-Q4";"P";"T";"KA";
"2002-Q4";"P";"T";"LE";"1542904.27267278"
"2003-Q1";"N";"T";"LE1";"572524.76375557"
"2003-Q1";"N";"T";"LX";"60075.3769284"
"2003-Q1";"N";"T";"T";"24075.818129"
