"CubeId";"bopovera"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"Value"
"2022";"E8";"1445.958826"
"2022";"A8";"1571.7706988"
"2022";"S9";"50351.77140575"
"2022";"NA0";"-12948.791462"
"2022";"NP0";"-63300.56286775"
"2022";"S14";"-4149.51052009"
"2022";"SD";"-22672.42284231"
"2023";"S0";"42198.75004698"
"2023";"E0";"828996.12894136"
"2023";"A0";"786797.37889438"
"2023";"S8";"3522.53490079"
"2023";"E8";"4214.44688893"
"2023";"A8";"691.91198814"
"2023";"S9";"58524.29603329"
"2023";"NA0";"-144530.90942598"
"2023";"NP0";"-203055.20545927"
"2023";"S14";"-4255.39980374"
"2023";"SD";"8547.61128178"
"2024";"S0";"41784.23016529"
"2024";"E0";"839657.74732435"
"2024";"A0";"797873.51715907"
"2024";"S8";"-175.61955735"
"2024";"E8";"221.20791809"
"2024";"A8";"396.82747544"
"2024";"S9";"50481.51841906"
"2024";"NA0";"-31676.65782548"
"2024";"NP0";"-82158.17624454"
"2024";"S14";"-6148.98579327"
"2024";"SD";"2723.92201785"
