"CubeId";"auvekomq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"2007-Q2";"A";"T7";"79417.06794285"
"2007-Q2";"P";"T0";"2953117.61869718"
"2007-Q2";"P";"T1";"553594.8869676"
"2007-Q2";"P";"T2";"1003800.155"
"2007-Q2";"P";"D";"54012.7"
"2007-Q2";"P";"T4";"1341709.87672958"
"2007-Q2";"N";"T0";"673677.00254932"
"2007-Q2";"N";"T1";"333094.26565695"
"2007-Q2";"N";"T2";"271330.9687734"
"2007-Q2";"N";"D";"-1446.5"
"2007-Q2";"N";"T4";"-8718.79982387"
"2007-Q2";"N";"T7";"79417.06794285"
"2007-Q3";"A";"T0";"3634391.48110969"
"2007-Q3";"A";"T1";"901251.18084019"
"2007-Q3";"A";"T2";"1279647.73736845"
"2007-Q3";"A";"D";"70712.5"
"2007-Q3";"A";"T4";"1300345.21015312"
"2007-Q3";"A";"T7";"82434.85274793"
"2007-Q3";"P";"T0";"2932914.79164148"
"2007-Q3";"P";"T1";"592191.44672126"
"2007-Q3";"P";"T2";"977316.684"
"2007-Q3";"P";"D";"68161.9"
"2007-Q3";"P";"T4";"1295244.76092022"
"2007-Q3";"N";"T0";"701476.68946821"
"2007-Q3";"N";"T1";"309059.73411893"
"2007-Q3";"N";"T2";"302331.05336845"
"2007-Q3";"N";"D";"2550.6"
"2007-Q3";"N";"T4";"5100.44923289"
"2007-Q3";"N";"T7";"82434.85274793"
"2007-Q4";"A";"T0";"3746579.8693815"
"2007-Q4";"A";"T1";"927605.821"
"2007-Q4";"A";"T2";"1271370.17500858"
"2007-Q4";"A";"D";"58312.2"
"2007-Q4";"A";"T4";"1404262.68466045"
"2007-Q4";"A";"T7";"85028.98871247"
"2007-Q4";"P";"T0";"3007096.19314371"
"2007-Q4";"P";"T1";"620423.8196208"
"2007-Q4";"P";"T2";"920815.488"
"2007-Q4";"P";"D";"57198.8"
"2007-Q4";"P";"T4";"1408658.08552292"
"2007-Q4";"N";"T0";"739483.67623779"
"2007-Q4";"N";"T1";"307182.0013792"
"2007-Q4";"N";"T2";"350554.68700858"
"2007-Q4";"N";"D";"1113.4"
"2007-Q4";"N";"T4";"-4395.40086247"
"2007-Q4";"N";"T7";"85028.98871247"
"2008-Q1";"A";"T0";"3544297.12060864"
"2008-Q1";"A";"T1";"898113.07913106"
"2008-Q1";"A";"T2";"1178252.9436431"
"2008-Q1";"A";"D";"123359"
"2008-Q1";"A";"T4";"1264346.44332443"
"2008-Q1";"A";"T7";"80225.65451005"
"2008-Q1";"P";"T0";"2850195.67405327"
"2008-Q1";"P";"T1";"626863.93278881"
"2008-Q1";"P";"T2";"815369.418"
"2008-Q1";"P";"D";"116266.8"
"2008-Q1";"P";"T4";"1291695.52326446"
"2008-Q1";"N";"T0";"694101.44655537"
"2008-Q1";"N";"T1";"271249.14634225"
"2008-Q1";"N";"T2";"362883.5256431"
"2008-Q1";"N";"D";"7092.2"
"2008-Q1";"N";"T4";"-27349.07994003"
"2008-Q1";"N";"T7";"80225.65451005"
"2008-Q2";"A";"T0";"3424988.80212263"
"2008-Q2";"A";"T1";"929942.69141444"
"2008-Q2";"A";"T2";"1177009.77815075"
"2008-Q2";"A";"D";"109902.1"
"2008-Q2";"A";"T4";"1127446.49015557"
"2008-Q2";"A";"T7";"80687.74240186"
"2008-Q2";"P";"T0";"2717673.19334682"
"2008-Q2";"P";"T1";"657359.17972709"
"2008-Q2";"P";"T2";"807211.804"
"2008-Q2";"P";"D";"100850.1"
"2008-Q2";"P";"T4";"1152252.10961974"
"2008-Q2";"N";"T0";"707315.6087758"
"2008-Q2";"N";"T1";"272583.51168736"
"2008-Q2";"N";"T2";"369797.97415075"
"2008-Q2";"N";"D";"9052"
"2008-Q2";"N";"T4";"-24805.61946417"
"2008-Q2";"N";"T7";"80687.74240186"
"2008-Q3";"A";"T0";"3494836.46929945"
"2008-Q3";"A";"T1";"959503.52473699"
"2008-Q3";"A";"T2";"1128324.56848258"
"2008-Q3";"A";"D";"130286.6"
"2008-Q3";"A";"T4";"1194268.36221727"
"2008-Q3";"A";"T7";"82453.41386261"
"2008-Q3";"P";"T0";"2787580.20641586"
"2008-Q3";"P";"T1";"676446.71829118"
"2008-Q3";"P";"T2";"780927.973"
"2008-Q3";"P";"D";"130988.3"
"2008-Q3";"P";"T4";"1199217.21512468"
"2008-Q3";"N";"T0";"707256.26288359"
"2008-Q3";"N";"T1";"283056.80644581"
"2008-Q3";"N";"T2";"347396.59548258"
"2008-Q3";"N";"D";"-701.7"
"2008-Q3";"N";"T4";"-4948.85290741"
"2008-Q3";"N";"T7";"82453.41386261"
"2008-Q4";"A";"T0";"3219024.75990676"
"2008-Q4";"A";"T1";"948851.25"
"2008-Q4";"A";"T2";"1012917.86525899"
"2008-Q4";"A";"D";"160018.57615124"
"2008-Q4";"A";"T4";"1018349.71003667"
"2008-Q4";"A";"T7";"78887.35845986"
"2008-Q4";"P";"T0";"2569296.93840877"
"2008-Q4";"P";"T1";"685988.48492184"
"2008-Q4";"P";"T2";"656369.957"
"2008-Q4";"P";"D";"164495.21918743"
"2008-Q4";"P";"T4";"1062443.27729949"
"2008-Q4";"N";"T0";"649727.82149799"
"2008-Q4";"N";"T1";"262862.76507816"
"2008-Q4";"N";"T2";"356547.90825899"
"2008-Q4";"N";"D";"-4476.64303619"
"2008-Q4";"N";"T4";"-44093.56726282"
"2008-Q4";"N";"T7";"78887.35845986"
"2009-Q1";"A";"T0";"3299827.53904584"
"2009-Q1";"A";"T1";"1008198.45707754"
"2009-Q1";"A";"T2";"1030727.96372614"
"2009-Q1";"A";"D";"140534.38433063"
"2009-Q1";"A";"T4";"1028527.16478555"
"2009-Q1";"A";"T7";"91839.56912598"
"2009-Q1";"P";"T0";"2561738.53379804"
"2009-Q1";"P";"T1";"714079.53234597"
"2009-Q1";"P";"T2";"590318.75"
"2009-Q1";"P";"D";"143910.57525374"
"2009-Q1";"P";"T4";"1113429.67619833"
"2009-Q1";"N";"T0";"738089.0052478"
"2009-Q1";"N";"T1";"294118.92473157"
"2009-Q1";"N";"T2";"440409.21372614"
"2009-Q1";"N";"D";"-3376.19092311"
"2009-Q1";"N";"T4";"-84902.51141278"
"2009-Q1";"N";"T7";"91839.56912598"
"2009-Q2";"A";"T0";"3376808.68684367"
"2009-Q2";"A";"T1";"1054412.12077521"
"2009-Q2";"A";"T2";"1096027.88350657"
"2009-Q2";"A";"D";"99841.72390176"
"2009-Q2";"A";"T4";"1009707.58432064"
"2009-Q2";"A";"T7";"116819.37433949"
"2009-Q2";"P";"T0";"2621346.2297018"
"2009-Q2";"P";"T1";"730074.38127899"
"2009-Q2";"P";"T2";"665223.43034596"
"2009-Q2";"P";"D";"103336.38539135"
"2009-Q2";"P";"T4";"1122712.0326855"
"2009-Q2";"N";"T0";"755462.45714187"
"2009-Q2";"N";"T1";"324337.73949622"
"2009-Q2";"N";"T2";"430804.45316061"
"2009-Q2";"N";"D";"-3494.66148959"
"2009-Q2";"N";"T4";"-113004.44836486"
"2009-Q2";"N";"T7";"116819.37433949"
"2009-Q3";"A";"T0";"3359906.53863803"
"2009-Q3";"A";"T1";"1069427.1989414"
"2009-Q3";"A";"T2";"1115231.52234339"
